preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os01g04110	0	0.997134446	0.047627993	2.04E-11	0	1	1
LOC_Os07g10490	0	0.510863255	0.806423366	1	0	0	0
LOC_Os03g14020	0	0.193339865	0.567020776	0.234138066	0	0	0
LOC_Os02g43560	0	0.66635597	0.192115446	0.060495047	0	0	1
LOC_Os03g26030	0	0.986144138	0.229129653	0.001501791	0	0	1
LOC_Os02g39910	0	0.175710859	0.568010818	0.996922725	0	0	0
LOC_Os01g74580	0	0.882366592	0.373610555	0.006321592	0	0	1
LOC_Os03g60300	0	0.96368846	0.176243512	0.602730602	0	0	0
LOC_Os01g71094	0	0.156708564	0.857106017	0.701578421	0	0	0
LOC_Os04g16680	0	0.026492944	0.928544027	0.999899823	1	0	0
LOC_Os03g64250	0	0.998860337	0.019290948	2.22E-16	0	1	1
LOC_Os06g22060	0	0.166755309	0.86477309	0.998859016	0	0	0
LOC_Os07g30200	0	0.578355984	0.376663903	0.691052566	0	0	0
LOC_Os02g51770	0	0.843064896	0.222760306	0.061178757	0	0	1
LOC_Os04g49194	0	0.84307483	0.834517805	0.000300119	0	0	1
LOC_Os01g60770	1	0.345071503	0.668719921	1	0	0	0
LOC_Os08g35210	0	0.324231242	0.524733755	0.605781098	0	0	0
LOC_Os02g46760	0	0.943794179	0.104555935	0.000705993	0	0	1
LOC_Os11g34440	0	0.649237085	0.746459345	0.810684986	0	0	0
LOC_Os09g26880	0	0.897897258	0.623469367	0.003105922	0	0	1
LOC_Os07g33360	0	0.886335722	0.079466232	0.955222049	0	1	0
LOC_Os01g54860	0	0.399570349	0.683352332	0.071313103	0	0	1
LOC_Os03g40550	0	0.974122696	0.220670101	0.003845106	0	0	1
LOC_Os02g54370	0	0.185715099	0.530934609	0.766309827	0	0	0
LOC_Os05g40160	0	0.916933001	0.148205261	0.039751729	0	0	1
LOC_Os02g17710	0	0.999584998	0.084254436	2.22E-16	0	1	1
LOC_Os06g08560	0	0.077188952	0.920262864	0.49926224	1	0	0
LOC_Os04g36859	0	0.829268977	0.400875689	0.479719057	0	0	0
LOC_Os03g12890	0	0.782298745	0.597592457	0.001494714	0	0	1
LOC_Os06g39590	0	0.230912307	0.802983666	0.995006722	0	0	0
LOC_Os12g38640	0	0.095993508	0.637667411	1	1	0	0
LOC_Os03g07830	0	0.792858062	0.114882009	0.94694116	0	0	0
LOC_Os11g38640	0	0.995325467	0.166396029	2.22E-16	0	0	1
LOC_Os01g61350	0	0.929378965	0.077231503	0.063523653	0	1	1
LOC_Os12g07480	0	0.998578077	0.123907766	4.12E-13	0	0	1
LOC_Os02g50460	0	0.992095117	0.470181799	0.251224435	0	0	0
LOC_Os02g04250	0	0.997049827	0.045844008	2.97E-16	0	1	1
LOC_Os02g09270	0	0.538028819	0.160992091	0.214952383	0	0	0
LOC_Os09g25625	0	0.841368712	0.310164612	0.013737925	0	0	1
LOC_Os08g33440	0	0.019345879	0.888463503	0.995287988	1	0	0
LOC_Os07g12160	0	0.347115133	0.886122484	0.023029828	0	0	1
LOC_Os07g43030	0	0.98492657	0.090107615	0.000576676	0	1	1
