preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os03g17700,1,0.999497493,1,1
LOC_Os04g51950,0,2.22e-16,0,0
LOC_Os05g33050,0,0.325166079,0,0
LOC_Os03g03150,0,0.149269405,0,0
LOC_Os03g20370,0,0.026575544,0,0
LOC_Os03g56470,0,0.155923407,0,0
LOC_Os07g25420,0,0.999700001,1,1
LOC_Os11g06890,0,0.198929475,0,0
LOC_Os09g16950,0,0.359481324,0,0
LOC_Os04g35240,0,0.284887445,0,0
LOC_Os01g47730,0,1.0,1,1
LOC_Os08g42600,0,2.22e-16,0,0
LOC_Os05g48240,0,0.009410482,0,0
LOC_Os06g50030,0,0.439434902,0,0
LOC_Os02g57450,0,0.81203035,1,0
LOC_Os06g07780,0,0.986069669,1,1
LOC_Os12g31810,0,0.9999,1,1
LOC_Os01g07560,0,2.22e-16,0,0
LOC_Os05g36120,0,1.0,1,1
LOC_Os06g06510,0,0.312673505,0,0
LOC_Os01g54590,0,0.74333267,1,0
LOC_Os04g42700,0,2.22e-16,0,0
LOC_Os12g30570,0,2.22e-16,0,0
LOC_Os01g17190,0,0.61038316,0,0
LOC_Os05g34950,0,0.062336066,0,0
LOC_Os06g46600,0,1.0,1,1
LOC_Os09g28180,0,0.957902853,1,1
LOC_Os05g50190,0,2.22e-16,0,0
LOC_Os08g42530,0,2.22e-16,0,0
LOC_Os01g37800,0,0.017492573,0,0
LOC_Os11g06390,1,0.998245847,1,1
LOC_Os02g52250,0,0.015423407,0,0
LOC_Os01g61920,0,0.077235926,0,0
LOC_Os05g50810,0,0.999800002,1,1
LOC_Os04g55030,0,0.007670234,0,0
LOC_Os03g38000,0,1.0,1,1
LOC_Os10g23100,0,2.22e-16,0,0
LOC_Os03g62500,0,0.866465949,1,1
LOC_Os02g20394,0,0.223709478,0,0
LOC_Os10g35550,0,0.019142335,0,0
LOC_Os05g08360,0,0.996625712,1,1
LOC_Os06g22650,0,0.129913582,0,0
LOC_Os02g09130,0,0.87719134,1,1
LOC_Os02g11840,0,0.988897885,1,1
LOC_Os10g06540,0,0.9999,1,1
LOC_Os02g34510,0,0.032078582,0,0
LOC_Os05g39050,0,0.688506088,0,0
LOC_Os12g07230,0,0.032520615,0,0
LOC_Os02g03340,0,0.138701095,0,0
LOC_Os12g39210,0,1.0,1,1
LOC_Os12g41260,0,2.22e-16,0,0
LOC_Os04g56070,0,2.22e-16,0,0
LOC_Os03g55150,0,0.154937464,0,0
LOC_Os03g43020,0,0.989649531,1,1
LOC_Os08g04290,0,0.065524045,0,0
LOC_Os08g12750,0,2.22e-16,0,0
LOC_Os02g42860,0,0.109864264,0,0
LOC_Os11g04070,0,1.0,1,1
LOC_Os02g11830,0,0.941801399,1,1
LOC_Os01g53920,0,2.22e-16,0,0
LOC_Os02g03060,0,0.304199333,0,0
LOC_Os03g10340,0,0.998585227,1,1
LOC_Os03g43890,0,0.014540478,0,0
LOC_Os01g64630,0,0.990294818,1,1
LOC_Os03g10940,0,0.962909052,1,1
LOC_Os05g36280,0,0.222075017,0,0
LOC_Os12g34510,0,0.995075913,1,1
LOC_Os08g02410,0,0.057185275,0,0
LOC_Os01g34890,0,0.001099485,0,0
LOC_Os01g52490,0,0.006669477,0,0
LOC_Os02g03600,0,0.267366367,0,0
LOC_Os02g40860,0,0.40384517,0,0
LOC_Os12g21798,0,1.0,1,1
LOC_Os07g10250,0,0.813662607,1,0
LOC_Os02g43930,0,2.22e-16,0,0
LOC_Os02g33430,0,0.396786754,0,0
LOC_Os01g24060,0,0.014616963,0,0
LOC_Os01g14860,0,0.674775143,0,0
LOC_Os01g12720,0,0.022922486,0,0
LOC_Os02g34600,0,0.921193227,1,1
LOC_Os02g07960,0,0.764563532,1,0
LOC_Os05g01560,0,0.134596364,0,0
LOC_Os11g14220,1,0.93893285,1,1
LOC_Os01g51290,0,2.69e-14,0,0
LOC_Os02g37420,0,0.01246707,0,0
LOC_Os03g41100,0,1.0,1,1
LOC_Os01g16030,0,0.000199999,0,0
LOC_Os08g03240,0,0.997988205,1,1
LOC_Os01g59990,0,0.499171356,0,0
LOC_Os03g62600,0,2.49e-16,0,0
LOC_Os04g46390,0,2.22e-16,0,0
LOC_Os07g38760,1,1.0,1,1
LOC_Os12g06660,1,0.999698997,1,1
LOC_Os02g44642,0,0.827955332,1,0
LOC_Os07g38120,0,0.991967555,1,1
LOC_Os01g43410,0,0.922375241,1,1
LOC_Os03g57340,0,2.22e-16,0,0
LOC_Os03g46770,1,1.0,1,1
LOC_Os02g49980,0,0.004844633,0,0
LOC_Os08g37800,0,0.621168036,0,0
LOC_Os10g10500,0,0.997951135,1,1
LOC_Os08g03150,0,0.9996,1,1
LOC_Os10g30420,0,0.993908423,1,1
LOC_Os05g07740,0,2.22e-16,0,0
LOC_Os10g05180,0,0.977395599,1,1
LOC_Os01g61590,0,0.112551331,0,0
LOC_Os05g14730,1,1.0,1,1
LOC_Os05g06770,0,0.0003,0,0
LOC_Os06g06460,0,0.208454616,0,0
LOC_Os06g42800,0,1.0,1,1
LOC_Os03g27450,0,0.000300893,0,0
LOC_Os01g13800,0,2.22e-16,0,0
LOC_Os05g34390,0,0.613258459,0,0
LOC_Os01g69130,0,2.88e-16,0,0
LOC_Os01g51380,1,0.999699402,1,1
LOC_Os01g52050,0,0.0001,0,0
