preds_list2[[1]]$genes,1,prob_svm,pred_svm,pred_svm_PR,prob_logit,pred_logit,pred_logit_PR
LOC_Os01g24690,0,0.096293414,0,0,0.481713339,0,0
LOC_Os05g11730,0,0.328850815,0,0,0.523708885,0,0
LOC_Os08g12820,0,0.159397238,0,0,0.481899545,0,0
LOC_Os11g07040,0,0.213716093,0,0,0.5063855,0,0
LOC_Os01g10840,0,0.302869503,0,0,0.539694949,0,0
LOC_Os08g27070,0,0.460874037,0,0,0.479153851,0,0
LOC_Os01g41630,0,0.28286963,0,0,0.486612473,0,0
LOC_Os04g35600,0,0.203616777,0,0,0.487782053,0,0
LOC_Os03g25070,0,0.293928446,0,0,0.480652134,0,0
LOC_Os06g48590,0,0.248146647,0,0,0.477137201,0,0
LOC_Os05g44070,0,0.600636353,1,0,0.502787568,0,0
LOC_Os08g23710,0,0.133932324,0,0,0.534608654,0,0
LOC_Os10g04580,0,0.153434273,0,0,0.483395766,0,0
LOC_Os06g36160,0,0.12386003,0,0,0.572083423,0,0
LOC_Os10g39820,0,0.088820667,0,0,0.550136937,0,0
LOC_Os03g29260,0,0.126914484,0,0,0.535343881,0,0
LOC_Os07g42300,0,0.158675712,0,0,0.502379694,0,0
LOC_Os01g70010,0,0.161126365,0,0,0.549902755,0,0
LOC_Os10g28230,0,0.10731361,0,0,0.478825181,0,0
LOC_Os08g09350,0,0.074698272,0,0,0.488810249,0,0
LOC_Os05g26890,0,0.096630388,0,0,0.456663866,0,0
LOC_Os04g38480,0,0.209829709,0,0,0.511408579,0,0
LOC_Os09g33600,0,0.164293982,0,0,0.491215109,0,0
LOC_Os01g19150,0,0.257044085,0,0,0.528253841,0,0
LOC_Os12g04180,0,0.149480804,0,0,0.529373615,0,0
LOC_Os12g41490,0,0.359589109,0,0,0.465029347,0,0
LOC_Os02g02410,0,0.657297278,1,0,0.440506152,0,0
LOC_Os05g03620,0,0.274521964,0,0,0.50755855,0,0
LOC_Os02g05480,0,0.404598503,0,0,0.480014919,0,0
LOC_Os03g08050,0,0.268893023,0,0,0.52633153,0,0
LOC_Os03g53190,0,0.106533887,0,0,0.491741466,0,0
LOC_Os02g43690,0,0.154040058,0,0,0.532566156,0,0
LOC_Os07g22710,0,0.228426561,0,0,0.455976961,0,0
LOC_Os03g55600,0,0.203314438,0,0,0.496738629,0,0
LOC_Os07g44710,0,0.33339086,0,0,0.465226948,0,0
LOC_Os01g32750,0,0.074023327,0,0,0.495913224,0,0
LOC_Os03g28410,0,0.141643889,0,0,0.554659879,0,0
LOC_Os03g59740,0,0.111443721,0,0,0.479405884,0,0
LOC_Os02g03890,0,0.319458058,0,0,0.529454547,0,0
LOC_Os04g42270,0,0.083029635,0,0,0.50962915,0,0
LOC_Os03g61970,0,0.376136571,0,0,0.493707907,0,0
LOC_Os10g32550,0,0.313404012,0,0,0.576646921,0,0
LOC_Os05g47890,0,0.225323536,0,0,0.477649191,0,0
LOC_Os03g16920,0,0.302966897,0,0,0.487999787,0,0
LOC_Os03g02260,0,0.285696326,0,0,0.53567361,0,0
LOC_Os03g06070,0,0.179063324,0,0,0.53479983,0,0
LOC_Os09g07510,0,0.281761092,0,0,0.469976274,0,0
LOC_Os02g09740,0,0.303753478,0,0,0.517998666,0,0
LOC_Os07g08330,0,0.095715231,0,0,0.479942594,0,0
LOC_Os10g28040,0,0.098161107,0,0,0.55076154,0,0
LOC_Os06g12790,0,0.391539129,0,0,0.461076876,0,0
LOC_Os05g41210,0,0.351323069,0,0,0.490379258,0,0
LOC_Os02g05340,0,0.186702049,0,0,0.545361938,0,0
LOC_Os10g36650,0,0.434244263,0,0,0.518377287,0,0
LOC_Os03g59390,0,0.253871202,0,0,0.489988023,0,0
LOC_Os01g72790,0,0.120251394,0,0,0.442575146,0,0
LOC_Os12g30060,0,0.166262626,0,0,0.513618888,0,0
LOC_Os03g17700,0,0.377806209,0,0,0.47913851,0,0
LOC_Os04g51950,0,0.270073954,0,0,0.483504556,0,0
LOC_Os05g33050,0,0.152380172,0,0,0.538175516,0,0
LOC_Os03g03150,0,0.33915503,0,0,0.531390176,0,0
LOC_Os03g20370,0,0.460623774,0,0,0.486642219,0,0
LOC_Os03g56470,0,0.202187824,0,0,0.47719525,0,0
LOC_Os07g25420,0,0.182435604,0,0,0.489098864,0,0
LOC_Os11g06890,0,0.464307861,0,0,0.475940252,0,0
LOC_Os09g16950,0,0.234532887,0,0,0.487628169,0,0
LOC_Os04g35240,0,0.191412544,0,0,0.510137881,0,0
LOC_Os01g47730,0,0.589725567,1,0,0.540420002,0,0
LOC_Os08g42600,0,0.31408127,0,0,0.519362014,0,0
LOC_Os05g48240,0,0.140044575,0,0,0.485963452,0,0
LOC_Os06g50030,0,0.301645709,0,0,0.453175956,0,0
LOC_Os02g57450,0,0.245035628,0,0,0.522959833,0,0
LOC_Os06g07780,0,0.642808273,1,0,0.497864754,0,0
LOC_Os12g31810,0,0.301725461,0,0,0.569904988,0,0
LOC_Os01g07560,0,0.160266156,0,0,0.514288049,0,0
LOC_Os05g36120,0,0.085464107,0,0,0.512421698,0,0
LOC_Os06g06510,0,0.203396204,0,0,0.485619987,0,0
LOC_Os01g54590,0,0.651578345,1,0,0.493563671,0,0
LOC_Os04g42700,0,0.150729266,0,0,0.474836659,0,0
LOC_Os12g30570,0,0.435780522,0,0,0.503744578,0,0
LOC_Os01g17190,0,0.325984004,0,0,0.487225815,0,0
LOC_Os05g34950,0,0.388153185,0,0,0.493993543,0,0
LOC_Os06g46600,0,0.328211291,0,0,0.500012712,0,0
LOC_Os09g28180,0,0.344900017,0,0,0.490316604,0,0
LOC_Os05g50190,0,0.303826404,0,0,0.461703166,0,0
LOC_Os08g42530,0,0.415849913,0,0,0.554357375,0,0
LOC_Os01g37800,0,0.2263802,0,0,0.563582733,0,0
LOC_Os11g06390,0,0.426545062,0,0,0.517839949,0,0
LOC_Os02g52250,0,0.072121872,0,0,0.50933683,0,0
LOC_Os01g61920,0,0.175921572,0,0,0.459508288,0,0
LOC_Os05g50810,0,0.226381478,0,0,0.509404317,0,0
LOC_Os04g55030,0,0.30923828,0,0,0.486939537,0,0
LOC_Os03g38000,0,0.131892541,0,0,0.570578627,0,0
LOC_Os10g23100,0,0.114454151,0,0,0.455533129,0,0
LOC_Os03g62500,0,0.355744124,0,0,0.538243,0,0
LOC_Os02g20394,0,0.323849085,0,0,0.505930197,0,0
LOC_Os10g35550,0,0.099624611,0,0,0.526812144,0,0
LOC_Os05g08360,0,0.062330099,0,0,0.505746927,0,0
LOC_Os06g22650,0,0.471227043,0,0,0.481883481,0,0
LOC_Os02g09130,0,0.359815318,0,0,0.498493571,0,0
LOC_Os02g11840,0,0.303187137,0,0,0.590935716,0,0
LOC_Os10g06540,0,0.524633763,0,0,0.424640389,0,0
LOC_Os02g34510,0,0.461638021,0,0,0.461089363,0,0
LOC_Os05g39050,0,0.157838335,0,0,0.454198539,0,0
LOC_Os12g07230,0,0.152199503,0,0,0.468529462,0,0
LOC_Os02g03340,0,0.060933643,0,0,0.507683234,0,0
LOC_Os12g39210,0,0.338174214,0,0,0.556288436,0,0
LOC_Os12g41260,0,0.422794703,0,0,0.503578721,0,0
LOC_Os04g56070,0,0.286817841,0,0,0.46702609,0,0
LOC_Os03g55150,0,0.099491975,0,0,0.437622147,0,0
LOC_Os03g43020,0,0.160879844,0,0,0.526036814,0,0
LOC_Os08g04290,0,0.139841249,0,0,0.5142914,0,0
LOC_Os08g12750,0,0.287144128,0,0,0.460894499,0,0
LOC_Os02g42860,0,0.371300773,0,0,0.487367844,0,0
LOC_Os11g04070,0,0.104835269,0,0,0.525619326,0,0
LOC_Os02g11830,0,0.331112129,0,0,0.560675745,0,0
LOC_Os01g53920,0,0.113782341,0,0,0.4954558,0,0
LOC_Os02g03060,0,0.124786169,0,0,0.488193912,0,0
LOC_Os03g10340,0,0.100394094,0,0,0.543711063,0,0
LOC_Os03g43890,0,0.108461314,0,0,0.501170639,0,0
LOC_Os01g64630,0,0.486988145,0,0,0.515526645,0,0
LOC_Os03g10940,0,0.180918653,0,0,0.50086001,0,0
LOC_Os05g36280,0,0.239801002,0,0,0.498474477,0,0
LOC_Os12g34510,0,0.124231003,0,0,0.478060947,0,0
LOC_Os08g02410,0,0.091868342,0,0,0.566771386,0,0
LOC_Os01g34890,0,0.491398194,0,0,0.52050491,0,0
LOC_Os01g52490,0,0.11412616,0,0,0.556092145,0,0
LOC_Os02g03600,0,0.301737335,0,0,0.5093036,0,0
LOC_Os02g40860,0,0.190613239,0,0,0.517298695,0,0
LOC_Os12g21798,0,0.138540833,0,0,0.507346048,0,0
LOC_Os07g10250,0,0.164100103,0,0,0.459460071,0,0
LOC_Os02g43930,0,0.44592008,0,0,0.488395986,0,0
LOC_Os02g33430,0,0.078587942,0,0,0.484827257,0,0
LOC_Os01g24060,0,0.316997102,0,0,0.480683729,0,0
LOC_Os01g14860,0,0.29060179,0,0,0.521813365,0,0
LOC_Os01g12720,0,0.190038457,0,0,0.475934385,0,0
LOC_Os02g34600,0,0.194591771,0,0,0.490222913,0,0
LOC_Os02g07960,0,0.210210743,0,0,0.504604544,0,0
LOC_Os05g01560,0,0.463206005,0,0,0.49090389,0,0
LOC_Os11g14220,0,0.267245053,0,0,0.558279885,0,0
LOC_Os01g51290,0,0.176099833,0,0,0.504204922,0,0
LOC_Os02g37420,0,0.26724258,0,0,0.503826926,0,0
LOC_Os03g41100,0,0.374639055,0,0,0.561564676,0,0
LOC_Os01g16030,0,0.38530506,0,0,0.530730128,0,0
LOC_Os08g03240,0,0.291018205,0,0,0.490173661,0,0
LOC_Os01g59990,0,0.185705392,0,0,0.565685929,0,0
LOC_Os03g62600,0,0.446576901,0,0,0.505260467,0,0
LOC_Os04g46390,0,0.464987018,0,0,0.518944168,0,0
LOC_Os07g38760,0,0.230874579,0,0,0.482070167,0,0
LOC_Os12g06660,1,0.50556173,0,0,0.861825769,1,1
LOC_Os02g44642,0,0.246435644,0,0,0.413374554,0,0
LOC_Os07g38120,0,0.258197119,0,0,0.497713195,0,0
LOC_Os01g43410,0,0.22168623,0,0,0.483124323,0,0
LOC_Os03g57340,0,0.441452863,0,0,0.521348045,0,0
LOC_Os03g46770,0,0.302174585,0,0,0.482050323,0,0
LOC_Os02g49980,0,0.201838679,0,0,0.476715735,0,0
LOC_Os08g37800,0,0.191380115,0,0,0.425275269,0,0
LOC_Os10g10500,0,0.362354129,0,0,0.496507867,0,0
LOC_Os08g03150,0,0.402828215,0,0,0.478742885,0,0
LOC_Os10g30420,0,0.082940212,0,0,0.44131588,0,0
LOC_Os05g07740,0,0.152132691,0,0,0.460609473,0,0
LOC_Os10g05180,0,0.310365664,0,0,0.54293283,0,0
LOC_Os01g61590,0,0.212109068,0,0,0.496913091,0,0
LOC_Os05g14730,0,0.345200227,0,0,0.544016242,0,0
LOC_Os05g06770,0,0.125825992,0,0,0.56573569,0,0
LOC_Os06g06460,0,0.243634888,0,0,0.495315002,0,0
LOC_Os06g42800,0,0.354970736,0,0,0.528026984,0,0
LOC_Os03g27450,0,0.20660973,0,0,0.504404691,0,0
LOC_Os01g13800,0,0.118890509,0,0,0.474490264,0,0
LOC_Os05g34390,0,0.208918893,0,0,0.559471783,0,0
LOC_Os01g69130,0,0.127305141,0,0,0.505245812,0,0
LOC_Os01g51380,0,0.490354051,0,0,0.470196359,0,0
LOC_Os01g52050,0,0.14383232,0,0,0.465907146,0,0
LOC_Os06g05180,0,0.326460417,0,0,0.579368252,0,0
LOC_Os02g45940,0,0.192350478,0,0,0.471044868,0,0
LOC_Os06g06880,0,0.272688933,0,0,0.530185446,0,0
LOC_Os10g06760,0,0.117360334,0,0,0.472349089,0,0
LOC_Os01g23620,0,0.31610038,0,0,0.481286148,0,0
LOC_Os02g39700,0,0.155952426,0,0,0.538151291,0,0
LOC_Os01g43540,0,0.428271601,0,0,0.457279559,0,0
LOC_Os01g49529,0,0.412422171,0,0,0.528056805,0,0
LOC_Os02g09960,0,0.302480493,0,0,0.559833164,0,0
LOC_Os03g08640,0,0.061814054,0,0,0.509848026,0,0
LOC_Os10g38920,0,0.243438719,0,0,0.513180173,0,0
LOC_Os01g15310,0,0.084466031,0,0,0.527504185,0,0
LOC_Os12g38110,0,0.278161724,0,0,0.499792929,0,0
LOC_Os10g39120,0,0.326209403,0,0,0.54483834,0,0
LOC_Os09g33810,0,0.155033805,0,0,0.511745217,0,0
LOC_Os01g61810,0,0.084334651,0,0,0.506151863,0,0
LOC_Os06g45350,0,0.156624652,0,0,0.49874661,0,0
LOC_Os03g05740,0,0.193620353,0,0,0.499552701,0,0
LOC_Os12g20324,0,0.26217064,0,0,0.559265197,0,0
LOC_Os11g40150,0,0.081746266,0,0,0.449311303,0,0
LOC_Os11g32900,0,0.348793275,0,0,0.502734204,0,0
LOC_Os09g36920,0,0.066785721,0,0,0.561998158,0,0
LOC_Os08g41250,0,0.099606049,0,0,0.462077868,0,0
LOC_Os06g46330,0,0.260934798,0,0,0.535941797,0,0
LOC_Os03g06670,0,0.17813055,0,0,0.466328923,0,0
LOC_Os01g13760,0,0.338515562,0,0,0.470765202,0,0
LOC_Os06g09850,0,0.403168954,0,0,0.462852376,0,0
LOC_Os05g51560,0,0.174827532,0,0,0.52409856,0,0
LOC_Os07g33110,0,0.191371888,0,0,0.45633354,0,0
LOC_Os07g36500,0,0.222482071,0,0,0.473806107,0,0
LOC_Os04g52270,0,0.09256879,0,0,0.500477211,0,0
LOC_Os05g36960,0,0.415317179,0,0,0.464645247,0,0
LOC_Os08g02400,0,0.10860601,0,0,0.581437969,0,0
LOC_Os03g03130,0,0.357904104,0,0,0.531506338,0,0
LOC_Os04g45040,0,0.390489518,0,0,0.4930634,0,0
LOC_Os02g13530,0,0.083324828,0,0,0.559628033,0,0
LOC_Os07g29360,0,0.064862754,0,0,0.505726587,0,0
LOC_Os08g03640,0,0.102705171,0,0,0.514888358,0,0
LOC_Os03g16130,0,0.135301126,0,0,0.45599759,0,0
LOC_Os04g42010,0,0.184237897,0,0,0.544545725,0,0
LOC_Os01g71960,0,0.074483841,0,0,0.471431193,0,0
LOC_Os05g50970,0,0.185807095,0,0,0.481160864,0,0
LOC_Os07g44040,0,0.125782458,0,0,0.481559404,0,0
LOC_Os12g03880,0,0.116872211,0,0,0.493541151,0,0
LOC_Os01g01960,0,0.195554116,0,0,0.500415599,0,0
LOC_Os05g30530,0,0.145146274,0,0,0.557138112,0,0
LOC_Os01g01740,0,0.35548942,0,0,0.475308921,0,0
LOC_Os05g04340,0,0.336688825,0,0,0.50604013,0,0
LOC_Os03g52650,0,0.25435561,0,0,0.469366851,0,0
LOC_Os05g41220,0,0.414101514,0,0,0.446925272,0,0
LOC_Os05g38120,0,0.129414071,0,0,0.533790807,0,0
LOC_Os07g38540,0,0.103120975,0,0,0.558161805,0,0
LOC_Os01g63940,0,0.080404793,0,0,0.509704448,0,0
LOC_Os01g48280,0,0.193586163,0,0,0.55876714,0,0
LOC_Os08g38560,0,0.243052198,0,0,0.460405613,0,0
LOC_Os05g32360,0,0.244441276,0,0,0.467505412,0,0
LOC_Os05g36290,0,0.451443594,0,0,0.530445463,0,0
LOC_Os10g31830,0,0.247270897,0,0,0.477597034,0,0
LOC_Os11g05730,0,0.263314985,0,0,0.475833904,0,0
LOC_Os06g29120,0,0.2088524,0,0,0.459840185,0,0
LOC_Os01g56550,0,0.130688421,0,0,0.497704668,0,0
LOC_Os01g66020,0,0.290930968,0,0,0.479598153,0,0
LOC_Os01g45380,0,0.357233615,0,0,0.458351253,0,0
LOC_Os07g42820,0,0.227147921,0,0,0.485846098,0,0
LOC_Os07g36130,0,0.160955116,0,0,0.486843578,0,0
LOC_Os03g53080,0,0.130386422,0,0,0.511734934,0,0
LOC_Os04g33950,0,0.102890221,0,0,0.50047495,0,0
LOC_Os01g69850,0,0.065671441,0,0,0.483597398,0,0
LOC_Os02g22140,0,0.093194585,0,0,0.432084323,0,0
LOC_Os05g49780,0,0.099784907,0,0,0.539805798,0,0
LOC_Os07g32800,0,0.347131209,0,0,0.507360544,0,0
LOC_Os03g59050,0,0.186795123,0,0,0.452345012,0,0
LOC_Os05g20050,0,0.462801994,0,0,0.5003639,0,0
LOC_Os07g07250,0,0.099994444,0,0,0.488855513,0,0
LOC_Os03g17980,0,0.211772181,0,0,0.433437777,0,0
LOC_Os08g03160,0,0.282638523,0,0,0.510725508,0,0
LOC_Os05g03630,0,0.42083899,0,0,0.492572161,0,0
LOC_Os10g36710,0,0.158765912,0,0,0.47341269,0,0
LOC_Os02g26160,0,0.383031509,0,0,0.496277386,0,0
LOC_Os01g64640,0,0.271439068,0,0,0.496757587,0,0
LOC_Os07g07240,0,0.231118006,0,0,0.48953353,0,0
LOC_Os09g38020,0,0.192374742,0,0,0.46381791,0,0
LOC_Os05g07820,0,0.218417294,0,0,0.475826261,0,0
LOC_Os02g30050,0,0.112651298,0,0,0.536666893,0,0
LOC_Os09g30190,0,0.161297971,0,0,0.479079275,0,0
LOC_Os02g03610,0,0.146809369,0,0,0.476831399,0,0
LOC_Os02g12794,0,0.2113249,0,0,0.508252048,0,0
LOC_Os09g15790,0,0.605503808,1,0,0.534319921,0,0
LOC_Os01g14932,0,0.218004841,0,0,0.440017667,0,0
LOC_Os02g14000,0,0.498716082,0,0,0.388980738,0,0
LOC_Os01g38950,0,0.186166745,0,0,0.509904895,0,0
LOC_Os07g07000,0,0.294663737,0,0,0.490651836,0,0
LOC_Os04g04330,0,0.22481529,0,0,0.47892596,0,0
LOC_Os06g02570,0,0.281295481,0,0,0.514723934,0,0
LOC_Os06g37440,0,0.115942304,0,0,0.487532497,0,0
LOC_Os08g39140,0,0.396378502,0,0,0.464889849,0,0
LOC_Os08g43370,0,0.436175962,0,0,0.497921828,0,0
LOC_Os10g39410,0,0.227836167,0,0,0.451964316,0,0
LOC_Os03g05760,0,0.099337793,0,0,0.46537377,0,0
LOC_Os11g38670,0,0.186982648,0,0,0.439105121,0,0
