gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os05g03620,0,0.514471,0.997846847,0,1,1
LOC_Os03g28410,0,0.620299,0.984060268,0,1,1
LOC_Os03g61970,0,0.563346,1,0,1,1
LOC_Os09g33600,1,0.831551,0.003343184,1,0,1
LOC_Os03g06070,0,0.497036,0.999411639,0,1,1
LOC_Os02g43690,0,0.440176,0.816939691,0,0,0
LOC_Os07g22710,0,0.487553,0.385264556,0,0,0
LOC_Os03g59740,0,0.476704,2.22E-16,0,0,0
LOC_Os05g47890,0,0.470298,0.002902601,0,0,0
LOC_Os03g16920,1,0.859726,0.938371639,1,1,2
LOC_Os01g72790,0,0.529678,2.22E-16,0,0,0
LOC_Os06g12790,0,0.484767,0.128389206,0,0,0
LOC_Os03g02260,0,0.502377,1,0,1,1
LOC_Os02g05340,0,0.519648,0.998279103,0,1,1
LOC_Os02g09740,0,0.49307,0.592190797,0,0,0
LOC_Os01g32750,0,0.504008,0.909166142,0,1,1
LOC_Os12g04180,0,0.49925,1,0,1,1
LOC_Os07g08330,0,0.415013,1,0,1,1
LOC_Os02g02410,1,0.822903,0.905498405,1,1,2
LOC_Os02g03890,0,0.50978,0.934800148,0,1,1
LOC_Os04g35240,0,0.491424,0.284887445,0,0,0
LOC_Os06g50030,0,0.487738,0.439434902,0,0,0
LOC_Os05g41210,0,0.646994,0.027873007,0,0,0
LOC_Os03g17700,1,0.842701,0.999497493,1,1,2
LOC_Os09g07510,0,0.528585,1,0,1,1
LOC_Os08g42600,0,0.511953,2.22E-16,0,0,0
LOC_Os10g28040,0,0.541357,0.997640108,0,1,1
LOC_Os12g31810,0,0.564123,0.9999,0,1,1
LOC_Os04g51950,0,0.481713,2.22E-16,0,0,0
LOC_Os05g33050,0,0.48271,0.325166079,0,0,0
LOC_Os10g36650,0,0.50104,0.927374171,0,1,1
LOC_Os03g20370,0,0.494348,0.026575544,0,0,0
LOC_Os03g59390,0,0.483028,0.99372161,0,1,1
LOC_Os02g57450,0,0.493207,0.81203035,0,0,0
LOC_Os03g03150,0,0.493524,0.149269405,0,0,0
LOC_Os11g06390,1,0.816031,0.998245847,1,1,2
LOC_Os03g56470,0,0.520522,0.155923407,0,0,0
LOC_Os06g07780,0,0.499297,0.986069669,0,1,1
LOC_Os07g25420,0,0.493565,0.999700001,0,1,1
LOC_Os12g30060,0,0.609582,0.997349647,0,1,1
LOC_Os09g16950,0,0.519289,0.359481324,0,0,0
LOC_Os01g17190,0,0.502743,0.61038316,0,0,0
LOC_Os08g42530,0,0.577952,2.22E-16,0,0,0
LOC_Os01g07560,0,0.523398,2.22E-16,0,0,0
LOC_Os01g47730,0,0.493359,1,0,1,1
LOC_Os06g06510,0,0.531872,0.312673505,0,0,0
LOC_Os04g42700,0,0.516572,2.22E-16,0,0,0
LOC_Os01g54590,0,0.537106,0.74333267,0,0,0
LOC_Os09g28180,0,0.543826,0.957902853,0,1,1
LOC_Os11g06890,0,0.487153,0.198929475,0,0,0
LOC_Os05g50190,0,0.4611,2.22E-16,0,0,0
LOC_Os02g52250,0,0.510135,0.015423407,0,0,0
LOC_Os12g34510,0,0.482506,0.995075913,0,1,1
LOC_Os05g48240,0,0.535661,0.009410482,0,0,0
LOC_Os12g30570,0,0.513125,2.22E-16,0,0,0
LOC_Os12g41260,0,0.489342,2.22E-16,0,0,0
LOC_Os10g35550,0,0.670941,0.019142335,0,0,0
LOC_Os02g09130,0,0.523118,0.87719134,0,1,1
LOC_Os03g62500,0,0.539773,0.866465949,0,1,1
LOC_Os05g34950,0,0.633883,0.062336066,0,0,0
LOC_Os05g36120,0,0.519771,1,0,1,1
LOC_Os10g06540,0,0.416489,0.9999,0,1,1
LOC_Os05g50810,0,0.516042,0.999800002,0,1,1
LOC_Os02g42860,0,0.498486,0.109864264,0,0,0
LOC_Os01g37800,0,0.506491,0.017492573,0,0,0
LOC_Os03g38000,0,0.528566,1,0,1,1
LOC_Os01g61920,0,0.449368,0.077235926,0,0,0
LOC_Os12g39210,0,0.519621,1,0,1,1
LOC_Os04g55030,0,0.515917,0.007670234,0,0,0
LOC_Os02g11840,0,0.495482,0.988897885,0,1,1
LOC_Os12g07230,0,0.506486,0.032520615,0,0,0
LOC_Os05g36280,0,0.49137,0.222075017,0,0,0
