preds_list2[[1]]$genes	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os08g04290	0.881963705564498	0.088067157073182	0.769338093605191	0	1	0
LOC_Os08g12750	0.922429926055561	0.131938082512679	0.460605841975583	0	0	0
LOC_Os02g42860	0.494868947915779	0.40793420761033	0.538015573472795	0	0	0
LOC_Os11g04070	0.801423670519326	0.0739569592019662	0.0921942469499469	0	1	1
LOC_Os02g11830	0.291809785231989	0.257257743084793	0.380021667757335	0	0	0
LOC_Os01g53920	0.853064240431083	0.0528888454402228	0.851178970687506	0	1	0
LOC_Os02g03060	0.43613923350042	0.072070805321349	0.565431098766921	0	1	0
LOC_Os03g10340	0.780676851599593	0.0607790647397689	0.0150861461934307	0	1	1
LOC_Os03g43890	0.784966123870575	0.0517858775495916	0.213415202771426	0	1	0
LOC_Os01g64630	0.396397374810248	0.64174370900514	0.339266560167012	0	0	0
LOC_Os03g10940	0.566333179793357	0.0923261811404735	0.368733516778721	0	1	0
LOC_Os05g36280	0.721824347866652	0.174920230310401	0.621570547787258	0	0	0
LOC_Os12g34510	0.479509596996285	0.0664540297461319	0.423357397566602	0	1	0
LOC_Os08g02410	0.758173435466198	0.0617636025751218	0.081249568839959	0	1	1
LOC_Os01g34890	0.161768583977317	0.566669592793575	0.668839900494475	0	0	0
LOC_Os01g52490	0.387904191386502	0.0755034430582096	0.473541878971345	0	1	0
LOC_Os02g03600	0.399670686668099	0.244461489112049	0.831415663739496	0	0	0
LOC_Os02g40860	0.62539749765159	0.0983245236776435	0.278031649284803	0	1	0
LOC_Os12g21798	0.80271739815697	0.159765753002796	0.0117075060019566	0	0	1
LOC_Os07g10250	0.567542035027391	0.137128104709681	0.642541619951958	0	0	0
LOC_Os02g43930	0.506007252236035	0.245968977643495	0.71023472886481	0	0	0
LOC_Os02g33430	0.859367516284977	0.0308665475656942	0.804847594833683	0	1	0
LOC_Os01g24060	0.609003090583614	0.208619963469387	0.274016346779695	0	0	0
LOC_Os01g14860	0.400777029366131	0.16609433919377	0.906735134229561	0	0	0
LOC_Os01g12720	0.368872037782436	0.126685697488746	0.288206887400334	0	0	0
LOC_Os02g34600	0.24888783879661	0.128510979816053	0.938753032050537	0	0	0
LOC_Os02g07960	0.161392567257687	0.224718914474063	0.529875785755282	0	0	0
LOC_Os05g01560	0.665327296338618	0.269601045398636	0.834762759218782	0	0	0
LOC_Os11g14220	0.765584873420594	0.155117218092795	0.254477702433844	0	0	0
LOC_Os01g51290	0.53719941696693	0.118452910836692	0.106843092047317	0	0	0
LOC_Os02g37420	0.559042359174207	0.207025002323875	0.0531333094760957	0	0	1
LOC_Os03g41100	0.0134931812323597	0.273136547680216	0.594185818662827	1	0	0
LOC_Os01g16030	0.157429113908935	0.671773352615959	0.898474905435269	0	0	0
LOC_Os08g03240	0.377905538185967	0.256942160653666	0.360862201798187	0	0	0
LOC_Os01g59990	0.539229109762791	0.141581372919908	0.426525736846814	0	0	0
LOC_Os03g62600	0.6887082432149	0.288515663886132	0.0693587933815624	0	0	1
LOC_Os04g46390	0.517871668952862	0.292109051711914	0.436195495434342	0	0	0
