preds_list2[[1]]$genes	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os02g14860	0.73738082724158	0.129347228980551	0.147105365098426	0	0	0
LOC_Os03g11570	0.490792076464218	0.434087823558317	0.218530457467785	0	0	0
LOC_Os07g12170	0.772608786087157	0.255672144431493	0.360633458452308	0	0	0
LOC_Os07g13530	0.942804988847592	0.176450415396731	0.418246099998289	0	0	0
LOC_Os04g58110	0.476007635076823	0.27377853190355	0.470139674490517	0	0	0
LOC_Os02g08530	0.111165558144883	0.390673561824201	0.805432889035024	0	0	0
LOC_Os03g09140	0.670212250039467	0.191615856641182	0.466895798045516	0	0	0
LOC_Os03g60870	0.319904590938073	0.164192970823582	0.562401517087947	0	0	0
LOC_Os01g32800	0.531337965861366	0.44751634742054	0.169279362700617	0	0	0
LOC_Os04g30430	0.666328754605417	0.182826800375163	0.392899011474892	0	0	0
LOC_Os06g45020	0.369116332297191	0.278469507066594	0.318929171723803	0	0	0
LOC_Os04g53240	0.359778384599608	0.279871435493592	0.763994181267109	0	0	0
LOC_Os02g29480	0.598597459304351	0.227106448110611	0.252084546495668	0	0	0
LOC_Os01g62290	0.595524742471832	0.330968144263969	0.382462425766965	0	0	0
LOC_Os05g30800	0.396983418463407	0.14843683448523	0.731942910865448	0	0	0
LOC_Os02g51180	0.3773834863539	0.148163805501843	0.488370932987605	0	0	0
LOC_Os12g43550	0.617170098049525	0.249237075662566	0.615177732216188	0	0	0
LOC_Os04g35890	0.477405470876577	0.29720957730119	0.624238121236579	0	0	0
LOC_Os10g30520	0.754370298779674	0.171682531182351	0.484682974050318	0	0	0
LOC_Os02g40880	0.899020725221789	0.0458338579997125	0.231328902826133	0	1	0
LOC_Os05g48980	0.0827348709640984	0.257874967037092	0.810149131035185	1	0	0
LOC_Os10g38950	0.809528036256658	0.188501249234243	0.197239823753833	0	0	0
LOC_Os06g17285	0.423287433879657	0.327309137039075	0.36804707276734	0	0	0
LOC_Os02g20850	0.109694481036588	0.343051154514047	0.85693658602328	0	0	0
LOC_Os03g45270	0.555592595122182	0.455432863072273	0.164052447158013	0	0	0
LOC_Os06g35530	0.0789213664582196	0.199701670786232	0.574220554350479	1	0	0
LOC_Os07g09680	0.775463819706596	0.0925217890505456	0.586236532427622	0	1	0
LOC_Os05g01020	0.50248469042021	0.119511468559607	0.438135283072305	0	0	0
LOC_Os08g07400	0.709621715357225	0.153963436546125	0.546643983439923	0	0	0
LOC_Os03g16110	0.930100597891593	0.158137028898592	0.257544615836624	0	0	0
LOC_Os03g26460	0.67246128461038	0.44341750190112	0.0802301079339884	0	0	1
LOC_Os11g01380	0.464490252149828	0.194486623590391	0.376472498221183	0	0	0
